L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
1.000000,0.000000,-1.000000,1.570796,-0.900291,-1.000000,0.000000
